route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
NE,5,42782,NorthEast Shuttle to UM Hospital,,1,3722,756,1,2
NE,5,42804,NorthEast Shuttle to UM Hospital via VA,,1,3723,755,1,2
NE,5,42781,NorthEast Shuttle to UM Hospital,,1,3719,756,1,2
NE,5,42803,NorthEast Shuttle to UM Hospital via VA,,1,3720,755,1,2
NE,5,42780,NorthEast Shuttle to UM Hospital,,1,3721,756,1,2
NE,5,42802,NorthEast Shuttle to UM Hospital via VA,,1,3722,755,1,2
NE,5,42779,NorthEast Shuttle to UM Hospital,,1,3723,756,1,2
NE,5,42801,NorthEast Shuttle to UM Hospital via VA,,1,3719,755,1,2
NE,5,42778,NorthEast Shuttle to UM Hospital,,1,3720,756,1,2
NE,5,42800,NorthEast Shuttle to UM Hospital via VA,,1,3721,755,1,2
NE,5,42777,NorthEast Shuttle to UM Hospital,,1,3722,756,1,2
NE,5,42799,NorthEast Shuttle to UM Hospital via VA,,1,3723,755,1,2
NE,5,43418,NorthEast Shuttle to UM Hospital,,1,3726,756,1,2
NE,5,43419,NorthEast Shuttle to UM Hospital via VA,,1,3727,755,1,2
NE,5,43420,NorthEast Shuttle to UM Hospital,,1,3728,756,1,2
NE,5,43421,NorthEast Shuttle to UM Hospital via VA,,1,3729,755,1,2
NW,5,43101,Northwood to NW 5,,0,3700,760,1,2
NW,5,43102,Northwood to NW 5,,0,3702,760,1,2
NW,5,43020,Northwood to NW 5,,0,3701,759,1,2
NW,5,43103,Northwood to NW 5,,0,3703,759,1,2
NW,5,43100,Northwood to NW 5,,0,3700,759,1,2
NW,5,43099,Northwood to NW 5,,0,3702,759,1,2
NW,5,43098,Northwood to NW 5,,0,3701,759,1,2
NW,5,43097,Northwood to NW 5,,0,3703,759,1,2
NW,5,43096,Northwood to NW 5,,0,3700,759,1,2
NW,5,43095,Northwood to NW 5,,0,3702,759,1,2
NW,5,43094,Northwood to NW 5,,0,3701,759,1,2
NW,5,43093,Northwood to NW 5,,0,3703,759,1,2
NW,5,43092,Northwood to NW 5,,0,3700,759,1,2
NW,5,43091,Northwood to NW 5,,0,3702,759,1,2
NW,5,43090,Northwood to NW 5,,0,3701,759,1,2
NW,5,43089,Northwood to NW 5,,0,3703,759,1,2
NW,5,43088,Northwood to NW 5,,0,3700,759,1,2
NW,5,43087,Northwood to NW 5,,0,3702,759,1,2
NW,5,43086,Northwood to NW 5,,0,3701,759,1,2
NW,5,43085,Northwood to NW 5,,0,3703,759,1,2
NW,5,43084,Northwood to NW 5,,0,3700,759,1,2
NW,5,43083,Northwood to NW 5,,0,3702,759,1,2
NW,5,43082,Northwood to NW 5,,0,3701,759,1,2
NW,5,43081,Northwood to NW 5,,0,3703,759,1,2
NW,5,43080,Northwood to NW 5,,0,3700,759,1,2
NW,5,43079,Northwood to NW 5,,0,3702,759,1,2
NW,5,43078,Northwood to NW 5,,0,3701,759,1,2
NW,5,43077,Northwood to NW 5,,0,3703,759,1,2
NW,5,43076,Northwood to NW 5,,0,3700,759,1,2
NW,5,43075,Northwood to NW 5,,0,3702,759,1,2
NW,5,43074,Northwood to NW 5,,0,3701,759,1,2
NW,5,43073,Northwood to NW 5,,0,3703,759,1,2
NW,5,43072,Northwood to NW 5,,0,3700,759,1,2
NW,5,43071,Northwood to NW 5,,0,3702,759,1,2
NW,5,43070,Northwood to NW 5,,0,3701,759,1,2
NW,5,43069,Northwood to NW 5,,0,3703,759,1,2
NW,5,43068,Northwood to NW 5,,0,3700,759,1,2
NW,5,43067,Northwood to NW 5,,0,3702,759,1,2
NW,5,43066,Northwood to NW 5,,0,3701,759,1,2
NW,5,43065,Northwood to NW 5,,0,3703,759,1,2
NW,5,43064,Northwood to NW 5,,0,3700,759,1,2
NW,5,43063,Northwood to NW 5,,0,3702,759,1,2
NW,5,43062,Northwood to NW 5,,0,3701,759,1,2
NW,5,43061,Northwood to NW 5,,0,3703,759,1,2
NW,5,43060,Northwood to NW 5,,0,3700,759,1,2
NW,5,43059,Northwood to NW 5,,0,3702,759,1,2
NW,5,43058,Northwood to NW 5,,0,3701,759,1,2
NW,5,43057,Northwood to NW 5,,0,3703,759,1,2
NW,5,43056,Northwood to NW 5,,0,3700,759,1,2
NW,5,43055,Northwood to NW 5,,0,3702,759,1,2
NW,5,43054,Northwood to NW 5,,0,3701,759,1,2
NW,5,43053,Northwood to NW 5,,0,3703,759,1,2
NW,5,43052,Northwood to NW 5,,0,3700,759,1,2
NW,5,43051,Northwood to NW 5,,0,3702,759,1,2
NW,5,43050,Northwood to NW 5,,0,3701,759,1,2
NW,5,43049,Northwood to NW 5,,0,3703,759,1,2
